"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_TIME_SECS","sec","s","s","s","sec","sec","sek","sn","秒","초","с.","ث","seg","秒","秒"
"NPC16_TAUNT_START","Welcome to the show!","Vous allez en prendre plein les yeux !","Willkommen bei der Show!","¡Que empiece el espectáculo!","Benvenuto allo show!","Welkom bij het spektakel!","Velkommen til showet!","Gösteriye hoş geldin!","ショーの始まりだ！","이제 시작해볼까?","Шоу начинается!","مرحبًا في العرض!","Bem-vindo ao show!","好戏开始喽！","好戲開鑼囉！"
"TID_ARENA_TOWER","Arena Towers","Tours d'arène","Arenatürme","Torres de la arena","Torri dell'arena","Arenatorens","Arenatårn","Arena Kuleleri","アリーナタワー","아레나 타워","Башни арены","أبراج الساحة","T. da Arena","护卫塔","護衛塔"
"TID_CHARACTER_BOMBER","Bomber","Bombardier","Bomber","Bombardero","Bombarolo","Bommengooier","Bomber","Bombacı","ボンバー","폭탄병","Подрывник","مفجر","Bombardeiro","炸弹兵","炸彈兵"
"TID_CHARACTER_MINIPEKKA","Mini P.E.K.K.A","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini P.E.K.K.A.","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini-P.E.K.K.A","Mini P.E.K.K.A","ミニP.E.K.K.A","미니 P.E.K.K.A","Мини П.Е.К.К.А.","بيكا صغير","Mini P.E.K.K.A","迷你皮卡","迷你皮卡"
"TID_CHEST_MAGICAL","Magical chest","Coffre magique","Magietruhe","Cofre mágico","Baule magico","Magische kist","Magisk kiste","Büyülü sandık","魔法の宝箱","마법 상자","Магический сундук","صندوق سحري","Baú mágico","神奇宝箱","神奇寶箱"
"TID_COME_BACK_NOTIFICATION_LARGE","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
"TID_COME_BACK_NOTIFICATION_SMALL","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
