"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English","Français","Deutsch","Español","Italiano","Nederlands","Norsk","Türkçe","日本語","한국어","Русский","العربية","Português","简体中文","繁體中文"
"TID_LOADING","Loading...","Chargement...","Laden ...","Cargando...","Caricamento...","Laden...","Laster inn ...","Açılıyor...","ロード中...","불러오는 중","Загрузка...","يتم التحميل...","Carregando...","正在载入......","載入中..."
"TID_TIME_M_S","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>.<S>","<M>:<S>","<M>：<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>"
"TID_TAB_BATTLE","Battle","Combattre","Kämpfen","Batalla","Battaglia","Vechten","Kamp","Savaş","バトル開始","전투","В бой","معركة","Batalha","对战","戰鬥"
"TID_TAB_SPELLS","Cards","Cartes","Karten","Cartas","Carte","Kaarten","Kort","Kartlar","カード","카드","Карты","بطاقات","Cartas","卡牌","卡片"
"TID_TAB_CLAN","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Klan","クラン","클랜","Клан","قبيلة","Clã","部落","部落"
"TID_TAB_SHOP","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Dükkan","ショップ","상점","Магазин","المتجر","Loja","商店","商店"
"TID_TAB_FEED","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","クラロワTV","TV Royale","TV Royale","TV Royale","TV Royale","巅峰对决","巔峰對決"
"TID_BUTTON_CLOSE","Close","Fermer","Schließen","Cerrar","Chiudi","Sluiten","Lukk","Kapat","閉じる","닫기","Закрыть","إغلاق","Fechar","关闭","關閉"
"TID_BUTTON_DONATE","Donate","Donner","Spenden","Donar","Dona","Doneren","Gi bort","Bağış Yap","寄付","지원","Пожертвовать","تبرع","Doar","捐赠","增援"
"TID_TIME_DAYS","d","j","T","d","g","d","d","g","日","일","д.","يوم","d","天","天"
"TID_TIME_HOURS","h","h","h","h","h","u","t","sa","時間","시간","ч.","ساعة","h","小时","小時"
"TID_TIME_MINS","min","min","min","min","min","min","min","dk","分","분","м.","دقيقة","min","分","分"
"TID_TIME_SECS","sec","s","s","s","sec","sec","sek","sn","秒","초","с.","ثانية","seg","秒","秒"
"TID_BUTTON_CANCEL","Cancel","Annuler","Abbr.","Cancelar","Annulla","Annuleren","Avbryt","İptal","キャンセル","취소","Отмена","إلغاء","Cancelar","取消","取消"
